Comentario: \_ esto es un comentario inicial _/, línea: 0, columna: 0
Token: 3, Valor: bromista, línea: 2, columna: 0
Token: 49, Valor: _func1_, línea: 2, columna: 9
Token: 17, Valor: abreregalo, línea: 2, columna: 17
Token: 5, Valor: cupido, línea: 2, columna: 28
Token: 49, Valor: _x22_, línea: 2, columna: 35
Token: 46, Valor: ,, línea: 2, columna: 41
Token: 5, Valor: cupido, línea: 2, columna: 43
Token: 49, Valor: _x22_, línea: 2, columna: 50
Token: 18, Valor: cierraregalo, línea: 2, columna: 56
Token: 12, Valor: abrecuento, línea: 2, columna: 70
Token: 5, Valor: cupido, línea: 3, columna: 3
Token: 49, Valor: _miChar_, línea: 3, columna: 10
Token: 16, Valor: entrega, línea: 3, columna: 19
Token: 11, Valor: '!', línea: 3, columna: 27
Token: 50, Valor: finregalo, línea: 3, columna: 31
Token: 6, Valor: cometa, línea: 4, columna: 3
Token: 49, Valor: _str1_, línea: 4, columna: 10
Token: 16, Valor: entrega, línea: 4, columna: 17
Token: 8, Valor: Hola $%&/gaspar$& cierraregalo  mundo, línea: 4, columna: 63
Token: 50, Valor: finregalo, línea: 4, columna: 65
Token: 3, Valor: bromista, línea: 5, columna: 3
Token: 49, Valor: _fl1_, línea: 5, columna: 12
Token: 16, Valor: entrega, línea: 5, columna: 18
Token: 10, Valor: 56.6, línea: 5, columna: 26
Token: 50, Valor: finregalo, línea: 5, columna: 31
Token: 5, Valor: cupido, línea: 6, columna: 3
Token: 49, Valor: _arr_, línea: 6, columna: 10
Token: 14, Valor: abreempaque, línea: 6, columna: 16
Token: 49, Valor: _lit_, línea: 6, columna: 28
Token: 15, Valor: cierraempaque, línea: 6, columna: 34
Token: 16, Valor: entrega, línea: 6, columna: 49
Token: 12, Valor: abrecuento, línea: 6, columna: 59
Token: 11, Valor: 'c', línea: 6, columna: 70
Token: 46, Valor: ,, línea: 6, columna: 73
Token: 11, Valor: 'd', línea: 6, columna: 74
Token: 13, Valor: cierracuento, línea: 6, columna: 78
Token: 50, Valor: finregalo, línea: 6, columna: 92
Token: 49, Valor: _arr_, línea: 9, columna: 3
Token: 14, Valor: abreempaque, línea: 9, columna: 9
Token: 49, Valor: _lit_, línea: 9, columna: 21
Token: 15, Valor: cierraempaque, línea: 9, columna: 27
Token: 16, Valor: entrega, línea: 9, columna: 42
Token: 11, Valor: 'c', línea: 9, columna: 51
Token: 50, Valor: finregalo, línea: 9, columna: 55
Token: 4, Valor: trueno, línea: 10, columna: 3
Token: 49, Valor: _mibool_, línea: 10, columna: 10
Token: 16, Valor: entrega, línea: 10, columna: 20
Token: 9, Valor: true, línea: 10, columna: 29
Token: 50, Valor: finregalo, línea: 10, columna: 34
Token: 49, Valor: _mibool_, línea: 14, columna: 3
Token: 16, Valor: entrega, línea: 14, columna: 13
Token: 17, Valor: abreregalo, línea: 14, columna: 23
Token: 10, Valor: 3.7, línea: 14, columna: 35
Token: 21, Valor: nochebuena, línea: 14, columna: 39
Token: 49, Valor: _fl1_, línea: 14, columna: 50
Token: 25, Valor: quien, línea: 14, columna: 56
Token: 18, Valor: cierraregalo, línea: 14, columna: 63
Token: 27, Valor: snowball, línea: 14, columna: 77
Token: 7, Valor: 56, línea: 14, columna: 86
Token: 33, Valor: melchor, línea: 14, columna: 89
Token: 9, Valor: true, línea: 14, columna: 97
Token: 50, Valor: finregalo, línea: 14, columna: 104
Token: 39, Valor: duende, línea: 16, columna: 3
