Token: 49, Valor: \_ esto es un comentario inicial _/, línea: 0, columna: 1
Token: 3, Valor: bromista, línea: 2, columna: 0
Token: 47, Valor: _func1_, línea: 2, columna: 9
Token: 16, Valor: abreregalo, línea: 2, columna: 17
Token: 5, Valor: cupido, línea: 2, columna: 28
Token: 47, Valor: _x22_, línea: 2, columna: 35
Token: 48, Valor: ,, línea: 2, columna: 41 (Error léxico)
Token: 5, Valor: cupido, línea: 2, columna: 43
Token: 47, Valor: _x22_, línea: 2, columna: 50
Token: 17, Valor: cierraregalo, línea: 2, columna: 56
Token: 11, Valor: abrecuento, línea: 2, columna: 70
Token: 5, Valor: cupido, línea: 3, columna: 5
Token: 47, Valor: _miChar_, línea: 3, columna: 12
Token: 15, Valor: entrega, línea: 3, columna: 21
Token: 48, Valor: ', línea: 3, columna: 29 (Error léxico)
Token: 48, Valor: !, línea: 3, columna: 30 (Error léxico)
Token: 48, Valor: ', línea: 3, columna: 31 (Error léxico)
Token: 50, Valor: finregalo, línea: 3, columna: 33
Token: 6, Valor: cometa, línea: 4, columna: 5
Token: 47, Valor: _str1_, línea: 4, columna: 12
Token: 15, Valor: entrega, línea: 4, columna: 19
Token: 8, Valor: ", línea: 4, columna: 65
Token: 50, Valor: finregalo, línea: 4, columna: 67
Token: 3, Valor: bromista, línea: 5, columna: 5
Token: 47, Valor: _fl1_, línea: 5, columna: 14
Token: 15, Valor: entrega, línea: 5, columna: 20
Token: 10, Valor: 56.6, línea: 5, columna: 28
Token: 50, Valor: finregalo, línea: 5, columna: 33
Token: 5, Valor: cupido, línea: 6, columna: 5
Token: 47, Valor: _arr_, línea: 6, columna: 12
Token: 13, Valor: abreempaque, línea: 6, columna: 18
Token: 47, Valor: _lit_, línea: 6, columna: 30
Token: 14, Valor: cierraempaque, línea: 6, columna: 36
Token: 15, Valor: entrega, línea: 6, columna: 51
Token: 11, Valor: abrecuento, línea: 6, columna: 61
Token: 48, Valor: ', línea: 6, columna: 72 (Error léxico)
Token: 48, Valor: c, línea: 6, columna: 73 (Error léxico)
Token: 48, Valor: ', línea: 6, columna: 74 (Error léxico)
Token: 48, Valor: ,, línea: 6, columna: 75 (Error léxico)
Token: 48, Valor: ', línea: 6, columna: 76 (Error léxico)
Token: 48, Valor: d, línea: 6, columna: 77 (Error léxico)
Token: 48, Valor: ', línea: 6, columna: 78 (Error léxico)
Token: 12, Valor: cierracuento, línea: 7, columna: 0
Token: 50, Valor: finregalo, línea: 7, columna: 14
Token: 47, Valor: _arr_, línea: 8, columna: 4
Token: 13, Valor: abreempaque, línea: 8, columna: 10
Token: 47, Valor: _lit_, línea: 8, columna: 22
Token: 14, Valor: cierraempaque, línea: 8, columna: 28
Token: 15, Valor: entrega, línea: 8, columna: 43
Token: 48, Valor: ', línea: 8, columna: 52 (Error léxico)
Token: 48, Valor: c, línea: 8, columna: 53 (Error léxico)
Token: 48, Valor: ', línea: 8, columna: 54 (Error léxico)
Token: 50, Valor: finregalo, línea: 8, columna: 56
Token: 4, Valor: trueno, línea: 9, columna: 5
Token: 47, Valor: _mibool_, línea: 9, columna: 12
Token: 15, Valor: entrega, línea: 9, columna: 22
Token: 9, Valor: true, línea: 9, columna: 31
Token: 50, Valor: finregalo, línea: 9, columna: 36
Token: 47, Valor: _mibool_, línea: 11, columna: 4
Token: 15, Valor: entrega, línea: 11, columna: 14
Token: 16, Valor: abreregalo, línea: 11, columna: 24
Token: 10, Valor: 3.7, línea: 11, columna: 36
Token: 20, Valor: nochebuena, línea: 11, columna: 40
Token: 47, Valor: _fl1_, línea: 11, columna: 51
Token: 24, Valor: quien, línea: 12, columna: 0
Token: 17, Valor: cierraregalo, línea: 12, columna: 7
Token: 26, Valor: snowball, línea: 12, columna: 21
Token: 7, Valor: 56, línea: 12, columna: 30
Token: 32, Valor: melchor, línea: 12, columna: 33
Token: 9, Valor: true, línea: 12, columna: 41
Token: 50, Valor: finregalo, línea: 12, columna: 48
Token: 38, Valor: duende, línea: 14, columna: 4
Token: 16, Valor: abreregalo, línea: 14, columna: 12
Token: 47, Valor: _i_, línea: 14, columna: 24
Token: 15, Valor: entrega, línea: 14, columna: 29
Token: 7, Valor: 10, línea: 14, columna: 38
Token: 48, Valor: ,, línea: 14, columna: 41 (Error léxico)
Token: 47, Valor: _i_, línea: 14, columna: 43
Token: 26, Valor: snowball, línea: 14, columna: 47
Token: 7, Valor: 30, línea: 14, columna: 56
Token: 20, Valor: nochebuena, línea: 14, columna: 59
Token: 7, Valor: 2, línea: 14, columna: 70
Token: 48, Valor: ,, línea: 14, columna: 72 (Error léxico)
Token: 47, Valor: _i_, línea: 14, columna: 74
Token: 24, Valor: quien, línea: 15, columna: 0
Token: 17, Valor: cierraregalo, línea: 15, columna: 7
Token: 11, Valor: abrecuento, línea: 16, columna: 5
Token: 37, Valor: envuelve, línea: 17, columna: 8
Token: 16, Valor: abreregalo, línea: 17, columna: 17
Token: 47, Valor: _var2_, línea: 17, columna: 28
Token: 28, Valor: minstix, línea: 17, columna: 35
Token: 10, Valor: 12.2, línea: 17, columna: 43
Token: 33, Valor: gaspar, línea: 17, columna: 48
Token: 16, Valor: abreregalo, línea: 17, columna: 56
Token: 7, Valor: 34, línea: 17, columna: 67
Token: 18, Valor: navidad, línea: 17, columna: 70
Token: 7, Valor: 33, línea: 17, columna: 78
Token: 17, Valor: cierraregalo, línea: 18, columna: 0
Token: 28, Valor: minstix, línea: 18, columna: 13
Token: 7, Valor: 12, línea: 18, columna: 21
Token: 17, Valor: cierraregalo, línea: 18, columna: 24
Token: 11, Valor: abrecuento, línea: 19, columna: 9
Token: 47, Valor: _var_, línea: 20, columna: 12
Token: 15, Valor: entrega, línea: 20, columna: 19
Token: 47, Valor: _var_, línea: 20, columna: 28
Token: 19, Valor: intercambio, línea: 20, columna: 34
Token: 7, Valor: 1, línea: 20, columna: 46
Token: 50, Valor: finregalo, línea: 20, columna: 48
Token: 48, Valor: @, línea: 20, columna: 58 (Error léxico)
Token: 48, Valor: s, línea: 20, columna: 59 (Error léxico)
Token: 48, Valor: e, línea: 20, columna: 60 (Error léxico)
Token: 48, Valor: m, línea: 20, columna: 61 (Error léxico)
Token: 48, Valor: a, línea: 20, columna: 62 (Error léxico)
Token: 48, Valor: n, línea: 20, columna: 63 (Error léxico)
Token: 48, Valor: t, línea: 20, columna: 64 (Error léxico)
Token: 48, Valor: i, línea: 20, columna: 65 (Error léxico)
Token: 48, Valor: c, línea: 20, columna: 66 (Error léxico)
Token: 48, Valor: o, línea: 20, columna: 67 (Error léxico)
Token: 43, Valor: envia, línea: 21, columna: 12
Token: 50, Valor: finregalo, línea: 21, columna: 18
Token: 48, Valor: @, línea: 21, columna: 28 (Error léxico)
Token: 48, Valor: s, línea: 21, columna: 29 (Error léxico)
Token: 48, Valor: i, línea: 21, columna: 30 (Error léxico)
Token: 48, Valor: n, línea: 21, columna: 31 (Error léxico)
Token: 48, Valor: t, línea: 21, columna: 32 (Error léxico)
Token: 48, Valor: a, línea: 21, columna: 33 (Error léxico)
Token: 48, Valor: c, línea: 21, columna: 34 (Error léxico)
Token: 48, Valor: t, línea: 21, columna: 35 (Error léxico)
Token: 48, Valor: i, línea: 21, columna: 36 (Error léxico)
Token: 48, Valor: c, línea: 21, columna: 37 (Error léxico)
Token: 48, Valor: o, línea: 21, columna: 38 (Error léxico)
Token: 12, Valor: cierracuento, línea: 22, columna: 9
Token: 35, Valor: elfo, línea: 24, columna: 8
Token: 16, Valor: abreregalo, línea: 24, columna: 14
Token: 47, Valor: _var_, línea: 24, columna: 25
Token: 30, Valor: mary, línea: 24, columna: 31
Token: 7, Valor: 0, línea: 24, columna: 36
Token: 17, Valor: cierraregalo, línea: 24, columna: 38
Token: 11, Valor: abrecuento, línea: 25, columna: 9
Token: 43, Valor: envia, línea: 26, columna: 12
Token: 50, Valor: finregalo, línea: 26, columna: 18
Token: 12, Valor: cierracuento, línea: 27, columna: 9
Token: 36, Valor: hada, línea: 28, columna: 8
Token: 11, Valor: abrecuento, línea: 29, columna: 9
Token: 43, Valor: envia, línea: 30, columna: 12
Token: 50, Valor: finregalo, línea: 30, columna: 18
Token: 12, Valor: cierracuento, línea: 31, columna: 9
Token: 39, Valor: varios, línea: 33, columna: 8
Token: 16, Valor: abreregalo, línea: 33, columna: 15
Token: 47, Valor: _ch_, línea: 33, columna: 26
Token: 17, Valor: cierraregalo, línea: 33, columna: 31
Token: 11, Valor: abrecuento, línea: 33, columna: 46
Token: 40, Valor: historia, línea: 34, columna: 12
Token: 7, Valor: 1, línea: 34, columna: 21
Token: 44, Valor: sigue, línea: 34, columna: 23
Token: 47, Valor: _id_, línea: 34, columna: 29
Token: 24, Valor: quien, línea: 34, columna: 34
Token: 50, Valor: finregalo, línea: 34, columna: 41
Token: 40, Valor: historia, línea: 35, columna: 12
Token: 7, Valor: 2, línea: 35, columna: 21
Token: 44, Valor: sigue, línea: 35, columna: 23
Token: 47, Valor: _id_, línea: 35, columna: 29
Token: 25, Valor: grinch, línea: 35, columna: 34
Token: 50, Valor: finregalo, línea: 35, columna: 41
Token: 43, Valor: envia, línea: 36, columna: 12
Token: 50, Valor: finregalo, línea: 36, columna: 18
Token: 41, Valor: ultimo, línea: 37, columna: 12
